title,raw_file,timestamp,dataset_id,extracted_file
(GDP) Inventar der schützenswerten Gärten und Anlagen von kommunaler Bedeutung der Stadt Zürich,d835efdb-0bc6-11f0-a8fc-005056b0ce82.zip,2025-03-28 12:26:43.788588,336506c8-4f50-4d0a-b5e4-ea3f6aa3251c,_gdp_inventar_der_schuetzenswerten_gaerten_und_anlagen_von_kommunaler_bedeutung_der_stadt_zuerich.gpkg
3D-Dachmodell LoD2 Jahresstand 2013 (3D),b5bad656-0bc2-11f0-a413-005056b0ce82.zip,2025-03-28 12:26:53.292145,cf2d70d4-acc7-4fd1-a575-413b1c0800e0,_3d_dachmodell_lod2_jahresstand_2013_3d_.gpkg
3D-Dachmodell LoD2 Jahresstand 2011 (3D),b2274aa3-0bc2-11f0-9010-005056b0ce82.zip,2025-03-28 12:27:02.137370,cf49c848-7c15-475a-b487-18a575583c78,_3d_dachmodell_lod2_jahresstand_2011_3d_.gpkg
3D-Dachmodell LoD2 Jahresstand 2018 (3D),e691fd80-0bc6-11f0-9d59-005056b0ce82.zip,2025-03-28 13:57:00.477383,553972e5-d2d0-4cd6-a334-36a3fa80b575,_3d_dachmodell_lod2_jahresstand_2018_3d_.gpkg
3D-Dachmodell LoD2 Jahresstand 2015 (3D),e2fc10b3-0bc6-11f0-b838-005056b0ce82.zip,2025-03-28 13:57:06.848927,46c76628-3594-42b7-a6c0-da07c8e6f2a1,_3d_dachmodell_lod2_jahresstand_2015_3d_.gpkg
Amtliche Vermessungsdaten Stadt Zürich Jahresendstand 2009,ab002913-0bc8-11f0-ab15-005056b0ce82.zip,2025-03-28 14:02:34.810243,2999e414-9704-4a93-ace2-72d674c53f2b,amtliche_vermessungsdaten_stadt_zuerich_jahresendstand_2009.gpkg
Amtliche Vermessungsdaten Stadt Zürich Jahresendstand 2008,a017267e-0bc8-11f0-98dc-005056b0ce82.zip,2025-03-28 14:02:42.612454,0dbb3d2e-8c84-4a05-a506-6ab5557db541,amtliche_vermessungsdaten_stadt_zuerich_jahresendstand_2008.gpkg
Aktuelle Tiefbauprojekte im öffentlichen Grund,30bca288-0bc7-11f0-8430-005056b0ce82.zip,2025-03-28 14:02:43.772943,5cac275e-8488-472b-b12c-492e620fb469,aktuelle_tiefbauprojekte_im_oeffentlichen_grund.gpkg
Aktuelle Auflistung von Videokameras der Stadtverwaltung Zürich,2d245386-0bc7-11f0-9f3d-005056b0ce82.zip,2025-03-28 14:02:44.926873,f0e16074-3722-48b2-ba3d-ba77a737118e,aktuelle_auflistung_von_videokameras_der_stadtverwaltung_zuerich.gpkg
AHB-Hochbauprojekte in Ausfuehrung OGD,2990b664-0bc7-11f0-88d9-005056b0ce82.zip,2025-03-28 14:02:46.090618,8b65f00a-4964-49d2-ad6e-92df45b6e93f,ahb_hochbauprojekte_in_ausfuehrung_ogd.gpkg
Adressen Stadt Zürich,fc1127db-0bc6-11f0-a490-005056b0ce82.zip,2025-03-28 14:02:47.404480,e15219bc-eb02-42a1-98f0-56a977b7507f,adressen_stadt_zuerich.gpkg
Abstimmungsgeräte TAZ,f87d7843-0bc6-11f0-9a5d-005056b0ce82.zip,2025-03-28 14:02:48.549308,6488c7de-2baa-4780-80fd-54fba56cf2fc,abstimmungsgeraete_taz.gpkg
Abfallgefässe,f4e7efb7-0bc6-11f0-9cd3-005056b0ce82.zip,2025-03-28 14:02:49.733526,8e1d8f5c-cdf4-47be-9de8-f94ee78bca6f,abfallgefaesse.gpkg
Fachplanung Stadtnatur OGD,12aa82a0-0bd9-11f0-be77-005056b0ce82.zip,2025-03-28 18:20:43.010734,00b33262-68b7-499b-b845-ed863b2f5468,fachplanung_stadtnatur_ogd.gpkg
Fachplanung Hitzeminderung OGD,0edb3f85-0bd9-11f0-a395-005056b0ce82.zip,2025-03-28 18:20:44.268219,837a8ffc-6deb-4807-9b77-c20752e9ac44,fachplanung_hitzeminderung_ogd.gpkg
ERZ Kehrichtcontainer im öffentlichen Raum,f3475c16-0bd8-11f0-b3c3-005056b0ce82.zip,2025-03-28 18:20:45.518683,c81c8c90-4b3d-4bbe-93b5-a36bb6c38bc0,erz_kehrichtcontainer_im_oeffentlichen_raum.gpkg
Erholungs- und Sporteinrichtungen,e180cb8a-0bd8-11f0-8d92-005056b0ce82.zip,2025-03-28 18:20:46.785261,37564fe0-ff45-4992-99c3-8cee86fa52ba,erholungs_und_sporteinrichtungen.gpkg
Energieplankarte 2022,ddf78554-0bd8-11f0-b4b3-005056b0ce82.zip,2025-03-28 18:20:48.087093,e25ffbf4-fff3-4d3f-ac00-f4d3912c86a6,energieplankarte_2022.gpkg
